"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
          74,      -5.013434654,         -4.468323,      -4.491663982,      -9.878128298,       6.977779139,       6.977779139,     0.06731254662,      0.4754099102,      0.3330522852,     0.00980363695
          75,      -5.012333222,      -4.469156752,      -4.492152642,      -9.874337295,       8.373334966,       8.373334966,      0.0661282498,      0.4727491972,      0.3300322271,    0.009851008823
          76,      -5.010545426,      -4.470065083,      -4.492787988,      -9.869792117,       10.04800196,       10.04800196,     0.06468981043,       0.469494325,       0.326415647,    0.009908546397
          77,      -5.008340406,      -4.471121597,      -4.493641463,      -9.864343919,       12.05760235,       12.05760235,     0.06294160662,      0.4655034944,      0.3220903382,     0.00997847455
          78,      -5.005815361,      -4.472356564,      -4.494789855,      -9.857848059,       14.46912282,       14.46912282,      0.0608177993,      0.4606022544,      0.3169326117,     0.01006342684
          79,      -5.003085643,      -4.473809548,      -4.496321717,      -9.850111368,       17.36294739,       17.36294739,     0.05824332189,      0.4545807064,      0.3108168799,     0.01016640594
          80,      -5.000366211,       -4.47554217,        -4.4983357,      -9.840963357,       20.83553686,       20.83553686,     0.05513740209,      0.4471955596,      0.3036339657,     0.01029064273
          81,      -4.998032274,      -4.477647783,        -4.5009398,      -9.830210458,       25.00264424,       25.00264424,     0.05142351796,      0.4381910226,      0.2953319144,      0.0104391981
          82,      -4.996663533,      -4.480264991,      -4.504245222,      -9.817637438,       30.00317308,       30.00317308,      0.0470539834,      0.4273696075,       0.286013602,     0.01061397948
          83,      -4.997059531,      -4.483603665,      -4.508339972,      -9.803051122,        36.0038077,        36.0038077,     0.04206010596,      0.4147609161,      0.2761508177,     0.01081373458
          84,      -5.000213169,      -4.487960903,       -4.51323889,      -9.786379362,       43.20456924,       43.20456924,      0.0366434182,        0.40095688,      0.2670008942,     0.01103040209
          85,      -5.007235129,      -4.493662398,       -4.51884629,      -9.767819091,       51.84548309,       51.84548309,     0.03132029284,      0.3876575031,      0.2612765223,      0.0112433271
          86,      -5.019192254,      -4.500865864,      -4.525083415,      -9.748151979,       62.21457971,       62.21457971,     0.02711392519,      0.3783743539,      0.2639708436,     0.01141158181
          87,      -5.036699988,      -4.509412532,      -4.532299762,      -9.728360072,       6.221457971,       6.221457971,     0.02573481312,      0.3790359995,      0.2828970954,     0.01146674629
          88,      -5.058953754,      -4.519421982,      -4.541556144,      -9.731013523,       7.465749565,       7.465749565,     0.02563477312,      0.3792198098,       0.284946113,     0.01147074789
          89,      -5.059078229,      -4.519352223,       -4.54159206,      -9.727990228,       8.958899478,       8.958899478,     0.02556964098,      0.3796178545,      0.2876375683,     0.01147335318
          90,      -5.059127745,      -4.519272664,      -4.541644453,      -9.724433215,       10.75067937,       10.75067937,     0.02557231241,        0.38035767,      0.2912082365,     0.01147346003
          91,      -5.059243934,        -4.5191403,      -4.541730917,      -9.720267848,       12.90081525,       12.90081525,     0.02569546076,      0.3816355767,      0.2959968315,     0.01147838597
          92,      -5.059509374,      -4.518912932,       -4.54186316,        -9.7154091,        15.4809783,        15.4809783,     0.02602212329,      0.3837534954,      0.3024926465,     0.01149145247
          93,      -5.060019201,      -4.518575014,      -4.542049561,      -9.709754869,       18.57717396,       18.57717396,     0.02668048173,      0.3871722166,      0.3114032767,     0.01151778681
          94,      -5.060900159,      -4.518148554,      -4.542295791,      -9.703204287,       22.29260875,       22.29260875,     0.02786205175,       0.392579453,      0.3237331797,     0.01156504961
          95,      -5.062303769,      -4.517701939,      -4.542607544,      -9.695641535,        26.7511305,        26.7511305,     0.02984110678,      0.4009601648,      0.3408473822,     0.01164421181
          96,       -5.06436551,      -4.517378768,      -4.542991049,      -9.687006492,        32.1013566,        32.1013566,     0.03299337767,      0.4136528929,      0.3644918879,     0.01177030264
          97,       -5.06714933,      -4.517466683,      -4.543437605,      -9.677286798,       38.52162792,       38.52162792,      0.0378082151,      0.4323746768,      0.3967447265,     0.01196289614
          98,      -5.070623949,      -4.518491721,       -4.54392772,      -9.666509551,        46.2259535,        46.2259535,     0.04487908866,      0.4591850291,      0.4398736724,     0.01224573108
          99,      -5.074838907,      -4.521199249,      -4.544479504,       -9.65480916,        55.4711442,        55.4711442,     0.05483229411,      0.4962699361,      0.4959603271,      0.0126438593
         100,      -5.080318542,       -4.52629497,      -4.545290767,      -9.642615197,        5.54711442,        5.54711442,     0.06814540881,       0.545362102,      0.5660829048,     0.01317638389
         101,      -5.088181109,       -4.53403219,      -4.546845266,      -9.646519781,       6.656537304,       6.656537304,     0.06949124968,      0.5503174967,       0.573123622,     0.01323021752
         102,      -5.088402701,      -4.534167052,      -4.546110035,      -9.644663267,       7.987844765,       7.987844765,     0.07112379486,      0.5563215134,      0.5816002663,     0.01329551933
         103,      -5.088126786,      -4.534213362,      -4.545212294,      -9.642477755,       9.585413718,       9.585413718,     0.07310601985,      0.5636007827,      0.5918003781,     0.01337480833
         104,      -5.087732534,      -4.534167179,       -4.54414024,      -9.639908748,       11.50249646,       11.50249646,     0.07551469487,       0.572429343,       0.604061463,     0.01347115533
         105,      -5.087359687,      -4.533976826,      -4.542882694,      -9.636896475,       13.80299575,       13.80299575,     0.07844272066,      0.5831357977,      0.6187729107,     0.01358827636
         106,      -5.087091936,      -4.533595015,      -4.541431766,      -9.633390915,        16.5635949,        16.5635949,     0.08200076057,      0.5961091741,      0.6363728795,     0.01373059796
         107,      -5.086997634,      -4.532990026,      -4.539782786,      -9.629361035,       19.87631389,       19.87631389,     0.08631604439,       0.611800541,      0.6573366709,     0.01390320931
         108,      -5.087122057,      -4.532154517,      -4.537937313,      -9.624793303,       23.85157666,       23.85157666,     0.09152371287,      0.6307094195,       0.682144913,     0.01411151605
         109,      -5.087435012,      -4.531120069,      -4.535910059,      -9.619721339,       28.62189199,       28.62189199,     0.09774532464,      0.6533346964,      0.7112096248,     0.01436038052
         110,      -5.087741123,      -4.529984851,      -4.533733262,       -9.61429398,       34.34627039,       34.34627039,      0.1050448628,      0.6800462118,      0.7447056377,      0.0146383394
         111,      -5.087515055,      -4.528996573,      -4.531482497,      -9.608740435,       41.21552447,       41.21552447,      0.1133621853,      0.7108686697,      0.7823035173,     0.01493181725
         112,      -5.085814978,      -4.528651704,      -4.529315556,      -9.603429854,       49.45862937,       49.45862937,      0.1224143285,      0.7451611788,      0.8227943506,      0.0152276043
         113,      -5.081538484,      -4.529748971,      -4.527569846,      -9.599171599,       59.35035524,       59.35035524,       0.131565653,       0.781229108,      0.8636681804,     0.01550583267
         114,      -5.074351554,      -4.533296933,      -4.526967648,      -9.597335899,       5.935035524,       5.935035524,      0.1396930217,      0.8159735366,      0.9007882811,      0.0157385535
         115,      -5.066162426,      -4.540256095,      -4.528984964,      -9.616769835,       7.122042629,       7.122042629,      0.1404780751,      0.8193685951,      0.9043885841,     0.01576090726
         116,      -5.066893595,      -4.540419753,      -4.528186048,      -9.616463294,       8.546451155,       8.546451155,      0.1413781303,      0.8233172352,      0.9085354434,     0.01578637245
         117,      -5.066027978,      -4.540295168,      -4.527255851,        -9.6161706,       10.25574139,       10.25574139,      0.1423964268,      0.8278714789,      0.9132590471,       0.015814977
         118,      -5.064616074,       -4.54000174,      -4.526265819,      -9.615924175,       12.30688966,       12.30688966,      0.1435271894,      0.8330660837,      0.9185594239,     0.01584649054
         119,      -5.062971283,      -4.539550481,      -4.525310735,      -9.615782052,        14.7682676,        14.7682676,      0.1447489038,      0.8389022749,      0.9243838164,     0.01588025147
         120,        -5.0612439,      -4.538982119,      -4.524514149,       -9.61583974,       17.72192111,       17.72192111,      0.1460141908,      0.8453228686,      0.9305933756,      0.0159149135
         121,      -5.059577808,      -4.538374829,      -4.524028216,       -9.61627697,       21.26630534,       21.26630534,      0.1472356961,       0.852176318,      0.9369186317,     0.01594809853
         122,      -5.058187062,      -4.537852959,       -4.52403732,      -9.617367202,        25.5195664,        25.5195664,       0.148269071,       0.859172366,      0.9429109272,      0.0159759769
         123,       -5.05740434,      -4.537570821,      -4.524776077,        -9.6194634,       30.62347969,       30.62347969,      0.1488938103,       0.865827283,      0.9478933628,     0.01599276039
         124,      -5.057741393,      -4.537692134,      -4.526562631,      -9.623095889,       36.74817562,       36.74817562,      0.1487985873,      0.8714133006,      0.9509261549,     0.01599532017
         125,      -5.059945631,      -4.538336056,      -4.529847618,      -9.629090577,       44.09781075,       44.09781075,      0.1475789022,      0.8749200912,      0.9507881897,     0.01602837869
         126,      -5.065080688,      -4.539498281,      -4.535257724,      -9.638580407,        52.9173729,        52.9173729,      0.1447665861,      0.8750773322,      0.9460175219,     0.01610608491
         127,      -5.074659893,      -4.540954938,      -4.543574861,      -9.653031184,        52.9173729,        52.9173729,      0.1399208692,      0.8705367681,      0.9351146817,     0.01624461226
         128,       -5.09088221,      -4.542246841,      -4.555572064,       -9.67659894,       63.50084748,       63.50084748,      0.1340654372,      0.8624228422,      0.9204425165,     0.01641931596
         129,      -5.111907251,      -4.541885444,      -4.567905846,      -9.698899933,       6.350084748,       6.350084748,       0.126366486,      0.8495036452,      0.8997159442,     0.01666301827
         130,      -5.141974634,      -4.541211777,      -4.583449421,      -9.746716464,       7.620101697,       7.620101697,      0.1255887854,      0.8481826951,      0.8976142931,     0.01668778802
         131,      -5.146307761,      -4.540667192,      -4.584046135,      -9.748304961,       9.144122036,       9.144122036,      0.1246472729,      0.8465571613,      0.8950538121,     0.01671800168
         132,      -5.149783472,      -4.539815377,      -4.584724027,      -9.750194734,       10.97294644,       10.97294644,      0.1235073008,      0.8445538585,      0.8919323644,     0.01675492167
         133,      -5.153551175,      -4.538694682,      -4.585559638,      -9.752417165,       13.16753573,       13.16753573,      0.1221276125,      0.8420832414,      0.8881272209,     0.01680011009
         134,       -5.15803786,      -4.537260764,      -4.586627661,      -9.755004202,       15.80104288,       15.80104288,      0.1204599782,      0.8390362851,       0.883492259,     0.01685548563
         135,      -5.163522557,      -4.535492619,      -4.588001397,      -9.757984958,       18.96125145,       18.96125145,      0.1184504368,      0.8352819106,      0.8778563296,     0.01692334664
         136,      -5.170275607,      -4.533420641,      -4.589745252,      -9.761300544,       22.75350175,       22.75350175,      0.1160454325,      0.8306703617,      0.8710288623,     0.01700624535
         137,      -5.178593991,      -4.531152425,      -4.591914699,      -9.764975414,       27.30420209,       27.30420209,      0.1132076452,      0.8250535082,      0.8628251801,     0.01710651375
         138,      -5.188789078,      -4.528896549,      -4.594567802,      -9.768857133,       32.76504251,       32.76504251,      0.1099440468,      0.8183322826,      0.8531234724,     0.01722525045
         139,      -5.201109444,      -4.526993517,      -4.597794667,      -9.772726064,       39.31805102,       39.31805102,      0.1063429189,       0.810535452,      0.8419584442,     0.01736070387
         140,      -5.215539302,      -4.525963768,      -4.601774268,      -9.776251051,       47.18166122,       47.18166122,      0.1026109917,      0.8019316673,      0.8296534593,     0.01750618252
         141,      -5.231432641,      -4.526561552,       -4.60684958,      -9.779129888,       56.61799346,       56.61799346,     0.09909593685,      0.7931694733,      0.8169876997,     0.01764678471
         142,      -5.246973188,       -4.52980857,      -4.613624352,      -9.781203557,       56.61799346,       56.61799346,      0.0962662442,      0.7853935581,      0.8053477864,     0.01775997242
         143,       -5.25879178,      -4.536992794,      -4.623106991,      -9.786190734,       67.94159216,       67.94159216,     0.09469576076,      0.7805230633,      0.7974542569,     0.01782279176
         144,      -5.261682707,      -4.546399615,      -4.633161223,      -9.786201538,       6.794159216,       6.794159216,     0.09425438569,      0.7786519445,      0.7931299124,     0.01784044676
         145,      -5.257809294,      -4.560795273,       -4.64780621,      -9.810416749,       8.152991059,       8.152991059,     0.09422413289,       0.778505065,      0.7927497838,     0.01784165687
         146,      -5.256593953,      -4.561970656,       -4.64824209,       -9.80920198,       9.783589271,       9.783589271,     0.09420721868,      0.7783844976,      0.7923665029,     0.01784233344
         147,      -5.254486403,      -4.563325226,      -4.648875926,      -9.807806806,       11.74030712,       11.74030712,     0.09421374781,      0.7783178734,      0.7920093274,     0.01784259461
         148,       -5.25180628,      -4.564897577,      -4.649791131,      -9.806215106,       14.08836855,       14.08836855,     0.09425832933,      0.7783462826,      0.7917242728,     0.01784437787
         149,        -5.2485557,      -4.566727193,       -4.65108623,      -9.804413461,       16.90604226,       16.90604226,     0.09436170141,      0.7785295282,      0.7915810279,     0.01784851275
         150,      -5.244689896,      -4.568891295,      -4.652876784,       -9.80238133,       20.28725071,       20.28725071,     0.09455299398,      0.7789548381,      0.7916840924,     0.01785616445
         151,      -5.240190538,      -4.571508963,      -4.655293188,      -9.800175262,       24.34470085,       24.34470085,     0.09487158923,      0.7797500092,      0.7921892655,     0.01786890826
         152,      -5.235113679,       -4.57473895,       -4.65848361,      -9.797805571,       29.21364102,       29.21364102,     0.09536490214,      0.7810985817,      0.7933232514,     0.01788864078
