"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
         164,      0.6800337905,       7.205742478,       7.856325991,       3.118694197,                 1,       131.0463094,        2033153561,        8202367868,   1.252748374e+10,       93.95788866
         165,      0.6924575866,       7.207153778,       7.850793717,       3.132146562,                 1,       131.0463094,        2295397469,        9319276832,   1.345644809e+10,       93.95834565
         166,      0.6780737457,       7.203172969,       7.876182104,       3.147781186,                 1,       131.0463094,        2077358473,        8727756779,   1.232745214e+10,       93.95876549
         167,       0.398049356,       6.940599487,        7.40798875,       3.165375671,                 1,       13.10463094,        1630143769,        7348306693,   1.013644617e+10,       93.95986285
         168,       0.268513473,       6.907533678,       7.485580409,       3.186680608,                 1,       15.72555712,        1519369211,        6986506273,        9568170290,       93.96015448
         169,      0.1944770678,       6.932206946,       7.435221037,       3.187892356,                 1,       18.87066855,        1373457775,        6504099460,        8823560394,       93.96057943
         170,      0.1860038773,       6.946150664,       7.507052478,        3.18875882,                 1,       22.64480226,        1203996048,        5936794638,        7962881897,       93.96114243
         171,      0.2015472617,       6.958517871,       7.449667301,       3.189083838,               1.2,       27.17376271,       997893716.6,        5240974353,        6931696727,       93.96196857
         172,      0.2330242375,       6.968923776,       7.573064556,       3.187384987,              1.44,       32.60851525,         720929761,        4320372212,        5602679456,       93.96350528
         173,       0.278936241,       6.980435593,       7.496250247,       3.183626984,             1.728,        39.1302183,       355062767.5,        3137477973,        3934253521,         93.967627
         174,      0.3212716026,       6.990345773,       7.700171987,       3.175944229,            2.0736,       46.95626196,      -71820258.69,        1775993316,        2060576781,       93.99140207
         175,      0.3726794619,       7.005375701,       7.606105284,       3.166187701,           2.48832,       56.34751435,      -493506384.6,       408860197.5,       231824030.7,       93.99481995
         176,      0.4136866896,        7.01453548,       7.864607274,       3.150449761,       2.717376271,       67.61701722,      -784141694.1,      -584760168.5,       -1055568308,       93.99630251
         177,      0.4605875894,       7.032557573,        7.73072266,        3.13519665,       2.717376271,       81.14042067,      -792496084.2,      -742174373.2,       -1235230222,       93.99634468
         178,      0.4815957017,       7.036835492,       8.015071846,       3.112328693,                 1,        97.3685048,        -413326107,       264236905.7,       77303126.35,       94.00001413
         179,      0.5280757358,       7.055445586,       7.856902692,       3.099413973,                 1,        97.3685048,       218210576.7,        2027809577,        2349896237,       94.01159078
         180,      0.4863060716,        7.02887618,       8.111048437,       3.088586561,                 1,       116.8422058,         908709364,        3882530387,        4770924884,       94.01463025
