"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          61,      -6.140393822,       -4.94792465,      -5.078627236,      -6.339532786,     -0.9921198003,        7.82604366,        7.82604366,      0.1297995756,       1.176423323,       1.192303483
          62,      -6.147934088,      -4.947082659,      -5.080101106,      -6.341534929,     -0.9856126074,       9.391252392,       9.391252392,      0.1296203616,       1.176108559,       1.191852889
          63,      -6.154653575,       -4.94674621,      -5.079802078,      -6.343971762,     -0.9777896236,       11.26950287,       11.26950287,      0.1293572957,       1.175630073,       1.191241298
          64,      -6.162430759,      -4.946946036,      -5.077491651,      -6.346945309,     -0.9688083841,       13.52340344,       13.52340344,      0.1290599965,        1.17508549,       1.190529265
          65,      -6.170989693,      -4.947145086,      -5.074147848,      -6.350587243,     -0.9588154218,       16.22808413,       16.22808413,      0.1286100647,       1.174231275,       1.189462449
          66,      -6.178214169,      -4.946701911,      -5.069742356,      -6.355070405,     -0.9478395905,       19.47370096,       19.47370096,      0.1280557568,       1.173236908,       1.188166253
          67,      -6.173690336,      -4.944441118,       -5.06292487,      -6.360612269,     -0.9358500673,       23.36844115,       23.36844115,      0.1272416528,       1.171799058,       1.186328199
          68,      -6.166315573,      -4.941299556,      -5.058256944,      -6.367486444,     -0.9222304946,       28.04212938,       28.04212938,      0.1262369572,       1.169999324,       1.183979468
          69,        -6.2126505,      -4.947585753,      -5.058097628,       -6.37605465,     -0.9079796863,       33.65055526,       33.65055526,      0.1250423351,        1.16775502,        1.18101441
          70,      -6.252674032,       -4.95314321,      -5.056790141,      -6.386690941,     -0.8943880798,       40.38066631,       40.38066631,      0.1237161265,       1.165222217,       1.177536284
          71,      -6.232986017,      -4.954184699,      -5.051656396,      -6.399825099,     -0.8795432517,       40.38066631,       40.38066631,      0.1221986166,       1.162098252,        1.17321543
          72,      -6.258075906,      -4.962480631,       -5.05342587,      -6.415641764,     -0.8976717817,       40.38066631,       40.38066631,      0.1209673562,       1.159295182,       1.169139696
          73,      -6.291931937,      -4.976611091,       -5.05872152,      -6.431012999,     -0.9158469798,       4.038066631,       4.038066631,      0.1199653561,       1.156711808,       1.165274923
          74,      -6.234399677,      -4.986886172,      -5.052797444,      -6.443280932,      -1.148417542,       4.845679957,       4.845679957,      0.1198846765,       1.156362358,       1.164701178
          75,      -6.289398885,      -4.994297757,      -5.069673424,      -6.444385599,      -1.143103285,       5.814815949,       5.814815949,      0.1196919857,       1.155773888,       1.163896017
          76,      -6.297680584,      -4.995577785,      -5.076266467,      -6.445652512,      -1.136478573,       6.977779139,       6.977779139,      0.1194822064,       1.155183593,       1.163090506
          77,      -6.301682005,      -4.997692503,      -5.079638923,      -6.447191982,      -1.127465384,       8.373334966,       8.373334966,      0.1192883578,       1.154650013,       1.162332627
          78,      -6.300712385,      -5.001132609,      -5.080769015,      -6.449062019,      -1.116599745,       10.04800196,       10.04800196,      0.1191025779,       1.154155346,       1.161587697
          79,      -6.296648555,      -5.005949989,      -5.080559289,      -6.451322085,      -1.104778631,       12.05760235,       12.05760235,      0.1188972683,       1.153638686,       1.160777037
          80,      -6.290951605,      -5.011750382,      -5.080393535,      -6.454026224,      -1.093429607,       14.46912282,       14.46912282,      0.1186476463,       1.153051378,       1.159839126
          81,      -6.281922349,      -5.018140517,       -5.08117258,      -6.457259543,      -1.082315173,       17.36294739,       17.36294739,      0.1183581884,       1.152393628,       1.158764888
          82,      -6.258044375,       -5.02477548,      -5.081676891,       -6.46117523,      -1.070303961,       20.83553686,       20.83553686,      0.1180511226,       1.151699784,       1.157581108
          83,      -6.225839013,      -5.031759997,      -5.081395234,      -6.465924089,      -1.058193732,       25.00264424,       25.00264424,      0.1176821977,        1.15093279,       1.156250807
          84,      -6.238033135,      -5.045491362,      -5.087834916,      -6.471602462,      -1.046374996,       30.00317308,       30.00317308,      0.1173450342,        1.15021558,       1.154898139
          85,      -6.222047302,      -5.059527772,      -5.092091751,      -6.478313575,      -1.034655411,        36.0038077,        36.0038077,      0.1170103916,       1.149578715,       1.153561109
          86,      -6.202824463,      -5.076033972,      -5.097604231,      -6.486061517,      -1.022061039,       43.20456924,       43.20456924,      0.1166813067,       1.149118852,       1.152354475
          87,        -6.1822165,      -5.095394167,      -5.103336845,      -6.494864245,      -1.007292768,       4.320456924,       4.320456924,      0.1163836562,       1.149004943,       1.151484885
          88,      -6.161977389,       -5.11628999,      -5.109222038,      -6.496787262,      -1.261536819,       5.184548309,       5.184548309,      0.1163692649,       1.148925735,       1.151261272
          89,      -6.165794896,      -5.118234489,      -5.118086814,      -6.496974753,      -1.254386275,       6.221457971,       6.221457971,      0.1163338181,       1.148821294,       1.151009195
          90,      -6.166351828,      -5.118084807,      -5.126056145,      -6.497240064,      -1.245766484,       7.465749565,       7.465749565,      0.1162812253,       1.148731011,       1.150780097
          91,      -6.167733507,      -5.119288858,      -5.131228097,      -6.497587373,      -1.235955401,       8.958899478,       8.958899478,      0.1162125943,       1.148677263,       1.150594755
          92,      -6.167139043,      -5.123301616,      -5.133161413,      -6.498012661,      -1.225418725,       10.75067937,       10.75067937,      0.1161352187,       1.148675037,       1.150457145
          93,      -6.165480209,       -5.13116046,      -5.133989358,      -6.498524998,      -1.214890008,       12.90081525,       12.90081525,      0.1160505648,        1.14874664,       1.150382129
          94,      -6.162950613,      -5.140452527,      -5.134850301,      -6.499189603,      -1.203951614,        15.4809783,        15.4809783,      0.1159552824,       1.148897637,          1.150373
          95,      -6.159848722,      -5.150050705,      -5.137160372,       -6.50011199,      -1.192427551,       18.57717396,       18.57717396,         0.1158535,       1.149135203,        1.15044021
