"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          59,      -5.730870787,      -4.423184621,      -4.608839991,      -7.071950686,      -2.730737981,       73.14523976,       73.14523976,       0.245328482,       1.198471018,       1.377158136
          60,       -5.73277233,      -4.422570897,       -4.61063133,      -7.060314724,      -2.728707342,       73.14523976,       73.14523976,      0.2461901988,       1.200567346,       1.378914498
          61,      -5.745600156,      -4.422787208,      -4.613095721,      -7.048603125,      -2.726912166,       73.14523976,       73.14523976,      0.2468088299,       1.202095316,       1.379758368
          62,      -5.742216058,      -4.423737401,      -4.616324624,      -7.037014074,      -2.723123272,       73.14523976,       73.14523976,        0.24721401,       1.203121881,       1.379820771
          63,      -5.740774498,      -4.425701026,      -4.620149689,      -7.025572523,       -2.71784224,       73.14523976,       73.14523976,      0.2474260838,       1.203690154,         1.3791928
          64,      -5.748261014,      -4.428322462,      -4.624571403,      -7.014874819,      -2.715373808,       73.14523976,       73.14523976,       0.247462129,       1.203848713,       1.377971223
          65,      -5.746626218,      -4.431365456,      -4.629274851,      -7.004596286,      -2.706657476,       73.14523976,       73.14523976,      0.2473283808,       1.203612463,       1.376199636
          66,      -5.747171816,      -4.434920509,      -4.634374871,      -6.994783716,      -2.699093327,       73.14523976,       73.14523976,      0.2470331508,       1.203008775,       1.373940651
          67,      -5.756478826,      -4.438791936,       -4.64052832,      -6.986103857,      -2.689878545,       73.14523976,       73.14523976,      0.2465873051,       1.202070798,       1.371264892
          68,      -5.771575903,      -4.442712334,      -4.646870001,      -6.978358345,      -2.683934461,       73.14523976,       73.14523976,      0.2460082331,        1.20084702,       1.368264081
          69,      -5.766806094,      -4.446129895,      -4.653314884,      -6.971556439,      -2.679685871,       73.14523976,       73.14523976,      0.2453152347,       1.199378328,       1.365013356
          70,      -5.774880936,      -4.449379952,       -4.65958817,      -6.966149675,      -2.680089467,       73.14523976,       73.14523976,      0.2445353583,       1.197724291,       1.361611781
          71,      -5.773642124,      -4.452106568,      -4.665234777,      -6.962373015,      -2.684237647,       73.14523976,       73.14523976,      0.2436899965,        1.19591073,       1.358100331
          72,       -5.77465919,      -4.454268258,      -4.670288281,      -6.960175552,      -2.694448355,       73.14523976,       73.14523976,      0.2428034557,       1.193974161,       1.354532491
          73,      -5.780701137,      -4.455874877,      -4.675097568,      -6.960095817,      -2.704823993,       73.14523976,       73.14523976,      0.2418906181,       1.191915705,       1.350903204
          74,      -5.786040552,      -4.457292091,      -4.679523089,      -6.962261321,      -2.718846015,       73.14523976,       73.14523976,      0.2409660514,       1.189749192,       1.347225194
          75,       -5.78370634,      -4.458228069,      -4.683320402,      -6.966544866,      -2.732397766,       73.14523976,       73.14523976,      0.2400348962,       1.187464916,       1.343472948
          76,      -5.790712121,      -4.458956127,      -4.686768244,      -6.972545043,      -2.749285125,       73.14523976,       73.14523976,      0.2390990778,       1.185057345,       1.339626405
          77,      -5.789304666,      -4.459731568,      -4.689644209,      -6.980119604,      -2.763470378,       7.314523976,       7.314523976,      0.2381542262,       1.182509101,       1.335646726
          78,      -5.786744288,      -4.460256058,      -4.692101307,      -7.017106556,      -2.781403121,       8.777428771,       8.777428771,      0.2380620648,       1.182265482,       1.335268354
          79,        -5.9820105,      -4.466916645,       -4.70966557,      -7.016367002,       -2.90171553,       10.53291453,       10.53291453,      0.2379501657,       1.181965232,       1.334802509
          80,      -6.076819976,      -4.469655574,      -4.733034816,      -7.014678416,       -2.89407427,       12.63949743,       12.63949743,      0.2378139856,       1.181593941,       1.334227737
          81,      -6.140542206,      -4.472195869,      -4.745216598,      -7.012902219,      -2.903341958,       15.16739692,       15.16739692,      0.2376491648,       1.181137682,        1.33352414
          82,      -6.128656968,      -4.475641172,      -4.745242997,      -7.010906471,      -2.915404585,        18.2008763,        18.2008763,      0.2374502398,       1.180578991,       1.332666983
