"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          56,      -9.641958775,      -7.720379161,      -8.308778276,      -9.617590403,       3.145111425,       3.145111425,      0.1463893931,       1.056000326,       1.095323116
          57,      -9.642139499,      -7.720409244,      -8.308893696,      -9.617578713,        3.77413371,        3.77413371,      0.1463893216,       1.056000732,       1.095323447
          58,      -9.642257193,      -7.720438261,      -8.309031811,      -9.617565486,       4.528960451,       4.528960451,      0.1463892339,       1.056001228,       1.095323851
          59,      -9.642365402,      -7.720465262,      -8.309177273,      -9.617550523,       5.434752542,       5.434752542,      0.1463891276,       1.056001827,       1.095324339
          60,      -9.642450348,      -7.720491211,      -8.309310242,       -9.61753344,        6.52170305,        6.52170305,      0.1463889996,       1.056002547,       1.095324926
          61,      -9.642489247,      -7.720519026,      -8.309414205,      -9.617513686,        7.82604366,        7.82604366,      0.1463888456,       1.056003409,       1.095325628
          62,      -9.642491156,      -7.720551763,       -8.30948372,      -9.617490661,       9.391252392,       9.391252392,      0.1463886605,       1.056004442,       1.095326469
          63,      -9.642472482,      -7.720590196,      -8.309525369,      -9.617463869,       11.26950287,       11.26950287,      0.1463884379,       1.056005682,       1.095327476
          64,      -9.642422306,      -7.720632109,      -8.309549088,      -9.617433006,       13.52340344,       13.52340344,      0.1463881705,       1.056007169,       1.095328684
          65,       -9.64229731,      -7.720673662,      -8.309556891,      -9.617397969,       16.22808413,       16.22808413,      0.1463878499,       1.056008954,       1.095330135
          66,      -9.642023907,      -7.720710731,      -8.309538165,      -9.617358936,       16.22808413,       16.22808413,      0.1463874664,       1.056011101,        1.09533188
          67,      -9.641490488,      -7.720740657,      -8.309437126,      -9.617349528,       16.22808413,       16.22808413,      0.1463870869,        1.05601324,       1.095333619
          68,      -9.641273934,      -7.720775231,      -8.309404215,      -9.617340129,       16.22808413,       16.22808413,      0.1463867097,        1.05601538,       1.095335362
          69,      -9.641149317,      -7.720810479,      -8.309408155,      -9.617330938,       16.22808413,       16.22808413,      0.1463863339,       1.056017522,       1.095337108
