"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          67,      -10.28276474,      -8.603628836,       -8.98635197,      -9.732644032,      -5.517567047,       45.28960451,       45.28960451,      0.1097823339,       1.271810995,       1.259115886
          68,      -10.28251953,      -8.603361482,      -8.985734564,      -9.732907428,      -5.626686586,       45.28960451,       45.28960451,      0.1097821802,       1.271812208,       1.259116927
          69,      -10.28226968,      -8.603119004,       -8.98516241,       -9.73315846,      -5.678185148,       45.28960451,       45.28960451,      0.1097820266,       1.271813418,       1.259117967
          70,      -10.28201125,      -8.602900385,      -8.984632084,      -9.733397159,      -5.697720029,       45.28960451,       45.28960451,      0.1097818731,       1.271814627,       1.259119005
          71,      -10.28173964,      -8.602704577,      -8.984141234,      -9.733623956,      -5.694184529,       45.28960451,       45.28960451,      0.1097817198,       1.271815835,       1.259120043
          72,      -10.28145547,      -8.602530553,      -8.983688651,       -9.73383954,       -3.92561091,       45.28960451,       45.28960451,      0.1097815666,       1.271817043,       1.259121079
          73,      -10.28116575,      -8.602377367,      -8.983273827,      -9.734042859,      -2.494009937,       45.28960451,       45.28960451,      0.1097814134,        1.27181825,       1.259122115
          74,      -10.28087611,      -8.602243874,      -8.982895752,      -9.733880874,      -2.864649502,       45.28960451,       45.28960451,      0.1097812602,       1.271819456,        1.25912315
          75,      -10.28059822,      -8.602130834,      -8.982552565,      -9.734236446,      -2.538598559,       45.28960451,       45.28960451,      0.1097811069,       1.271820662,       1.259124185
          76,      -10.28033967,      -8.602036118,       -8.98224451,      -9.734230845,       -2.92817447,       45.28960451,       45.28960451,      0.1097809534,       1.271821868,       1.259125219
          77,      -10.28010833,      -8.601960045,      -8.981969437,      -9.734510526,        -3.3071345,       45.28960451,       45.28960451,      0.1097807997,       1.271823073,       1.259126251
          78,      -10.27990828,      -8.601901778,       -8.98172597,      -9.734718905,      -3.672990296,       45.28960451,       45.28960451,       0.109780646,       1.271824277,       1.259127283
          79,      -10.27974183,      -8.601860659,      -8.981512331,      -9.734897428,      -4.021717733,       45.28960451,       45.28960451,      0.1097804921,       1.271825481,       1.259128314
          80,      -10.27960957,      -8.601836206,      -8.981326601,      -9.735081537,      -4.349509346,       45.28960451,       45.28960451,      0.1097803383,       1.271826684,       1.259129344
          81,      -10.27951045,      -8.601827602,      -8.981167231,      -9.735257232,      -4.654340673,       45.28960451,       45.28960451,      0.1097801846,       1.271827886,       1.259130373
          82,      -10.27944293,      -8.601834039,      -8.981032845,      -9.735429803,      -4.936976991,       45.28960451,       45.28960451,      0.1097800309,       1.271829088,       1.259131401
          83,      -10.27940531,      -8.601854742,       -8.98092233,      -9.735601328,      -5.251428022,       45.28960451,       45.28960451,      0.1097798774,       1.271830288,       1.259132428
          84,      -10.27939332,      -8.601888841,      -8.980834342,      -9.735770381,      -2.485600186,       45.28960451,       45.28960451,      0.1097797239,       1.271831488,       1.259133455
          85,      -10.27940456,      -8.601935145,      -8.980767895,      -9.735583306,      -2.856432117,       45.28960451,       45.28960451,      0.1097795706,       1.271832686,        1.25913448
          86,      -10.27943652,      -8.601994328,      -8.980720733,      -9.735915774,      -2.540392339,       45.28960451,       45.28960451,      0.1097794172,       1.271833883,       1.259135504
          87,      -10.27948403,      -8.602064089,      -8.980692956,      -9.735896486,      -2.929985947,       45.28960451,       45.28960451,      0.1097792639,       1.271835079,       1.259136527
          88,      -10.27954436,      -8.602144534,      -8.980682674,      -9.736168953,      -3.308983402,       45.28960451,       45.28960451,      0.1097791105,       1.271836274,       1.259137548
          89,      -10.27961399,      -8.602234658,      -8.980688973,      -9.736375983,      -3.674889027,       45.28960451,       45.28960451,      0.1097789572,       1.271837468,       1.259138569
          90,      -10.27969077,      -8.602333702,      -8.980710629,      -9.736558211,      -4.023677729,       45.28960451,       45.28960451,      0.1097788038,       1.271838661,       1.259139589
          91,      -10.27977356,       -8.60244117,      -8.980746277,      -9.736750404,      -4.351564037,       45.28960451,       45.28960451,      0.1097786503,       1.271839853,       1.259140608
          92,      -10.27986179,      -8.602556315,      -8.980794837,      -9.736937847,      -4.656916487,       45.28960451,       45.28960451,      0.1097784969,       1.271841044,       1.259141627
          93,      -10.27995561,      -8.602678453,      -8.980855242,      -9.737125213,       -4.95735851,       45.28960451,       45.28960451,      0.1097783435,       1.271842235,       1.259142645
          94,      -10.28005566,      -8.602806934,      -8.980926506,      -9.737314059,      -2.485690278,       45.28960451,       45.28960451,      0.1097781901,       1.271843425,       1.259143663
          95,      -10.28016277,      -8.602940709,      -8.981007737,      -9.737147828,      -2.856585859,       45.28960451,       45.28960451,      0.1097780368,       1.271844616,       1.259144681
          96,      -10.28027912,      -8.603080604,       -8.98109697,      -9.737502029,      -2.540360509,       45.28960451,       45.28960451,      0.1097778837,       1.271845806,       1.259145699
          97,      -10.28040367,      -8.603224501,      -8.981194732,      -9.737505803,      -2.929935629,       45.28960451,       45.28960451,      0.1097777308,       1.271846996,       1.259146718
          98,      -10.28053721,      -8.603372723,      -8.981299455,      -9.737801467,      -3.308899703,       45.28960451,       45.28960451,      0.1097775781,       1.271848187,       1.259147737
          99,      -10.28067987,      -8.603524548,      -8.981410953,      -9.738032125,      -3.674753749,       45.28960451,       45.28960451,      0.1097774258,       1.271849378,       1.259148757
         100,       -10.2808316,      -8.603679552,      -8.981528615,       -9.73823816,      -4.023472291,       45.28960451,       45.28960451,      0.1097772738,        1.27185057,       1.259149778
         101,      -10.28099234,      -8.603837636,      -8.981651659,      -9.738454244,      -4.351311471,       45.28960451,       45.28960451,      0.1097771221,       1.271851762,         1.2591508
         102,       -10.2811615,      -8.603998498,      -8.981779622,      -9.738665485,      -4.657495568,       45.28960451,       45.28960451,      0.1097769709,       1.271852955,       1.259151823
