"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          52,      -6.913916175,      -5.422466066,      -5.721551608,        -4.8920463,     -0.1070141916,       60.95436647,       60.95436647,      0.1202729531,       1.165302143,       1.169973906
          53,       -6.89316863,      -5.424952325,      -5.714168591,      -4.920337442,     -0.1333315938,       60.95436647,       60.95436647,      0.1213959691,       1.167146733,       1.173572894
          54,      -6.900413891,      -5.426597677,      -5.715820563,       -4.95014953,     -0.1608573243,       60.95436647,       60.95436647,      0.1225540314,       1.169134923,        1.17734173
          55,      -6.875424098,      -5.427486783,      -5.719698468,      -4.981599664,     -0.1897071825,       6.095436647,       6.095436647,      0.1237365391,       1.171230873,       1.181231799
          56,      -6.879396336,      -5.428572179,      -5.722086244,      -5.014786139,     -0.2199791704,       7.314523976,       7.314523976,      0.1238576438,       1.171454541,       1.181643027
          57,      -6.991768393,      -5.430726503,      -5.756340184,      -5.018222465,      -0.223096708,       8.777428771,       8.777428771,      0.1240021904,       1.171717725,       1.182127484
          58,      -7.035183513,      -5.430248774,      -5.802509283,      -5.022372572,     -0.2268595712,       10.53291453,       10.53291453,      0.1241747155,         1.1720289,       1.182700304
          59,      -7.079163029,      -5.430981111,      -5.829147173,      -5.027390842,     -0.2314064914,       12.63949743,       12.63949743,      0.1243812549,         1.1724006,       1.183383387
          60,       -7.06452901,      -5.434013569,      -5.829311519,      -5.033467812,      -0.236908342,       15.16739692,       15.16739692,      0.1246295142,       1.172848295,       1.184203843
          61,      -7.045966903,      -5.438153225,      -5.816925232,      -5.040839647,     -0.2435764837,        18.2008763,        18.2008763,       0.124928689,       1.173389875,       1.185192948
          62,      -7.036565467,       -5.44203921,       -5.80744183,      -5.049800555,     -0.2516736447,       21.84105156,       21.84105156,      0.1252896046,       1.174046196,       1.186386881
          63,      -7.026565441,      -5.445246299,      -5.803368496,      -5.060719097,     -0.2615281624,       26.20926187,       26.20926187,      0.1257255394,       1.174842513,       1.187829013
          64,      -7.010288958,      -5.448016204,      -5.800339968,      -5.074059708,     -0.2735526641,       31.45111425,       31.45111425,      0.1262536622,       1.175811095,       1.189573472
          65,      -6.987300169,      -5.450531185,      -5.795753028,      -5.090411164,     -0.2882688789,        37.7413371,        37.7413371,      0.1268967132,       1.176994731,       1.191689354
          66,      -6.961816937,      -5.452770727,      -5.789734823,      -5.110524177,     -0.3063402173,       45.28960451,       45.28960451,      0.1276828494,       1.178446087,       1.194259087
          67,      -6.934969066,      -5.454415184,      -5.782923612,      -5.135360773,     -0.3286139308,       54.34752542,       54.34752542,      0.1286400652,        1.18021426,       1.197359322
          68,      -6.911629899,       -5.45529093,      -5.775417796,      -5.166158353,     -0.3561753192,        65.2170305,        65.2170305,      0.1297867068,       1.182322142,       1.201028947
          69,      -6.898795469,      -5.455474624,      -5.767283891,      -5.204511143,     -0.3904157307,        6.52170305,        6.52170305,      0.1311269809,       1.184754555,       1.205252045
          70,      -6.883337115,      -5.454588002,      -5.758623506,      -5.252471136,     -0.4331137614,        7.82604366,        7.82604366,      0.1312630256,       1.185010218,       1.205694635
          71,      -6.968304855,      -5.456638424,      -5.783888964,      -5.257528925,     -0.4375872524,       9.391252392,       9.391252392,      0.1314248674,       1.185309078,        1.20621268
          72,      -6.991980433,      -5.456183146,       -5.82136526,      -5.263631317,     -0.4429823716,       11.26950287,       11.26950287,      0.1316168874,       1.185658385,        1.20681864
          73,      -7.013983227,      -5.456457639,      -5.844266296,      -5.271001506,     -0.4494950606,       13.52340344,       13.52340344,      0.1318447614,       1.186068843,       1.207530992
          74,      -7.007571249,      -5.458566386,       -5.84553927,      -5.279913482,     -0.4573653286,       16.22808413,       16.22808413,      0.1321153945,       1.186552912,       1.208371597
          75,      -6.997482282,      -5.461669193,      -5.835858911,       -5.29070472,     -0.4668881056,       19.47370096,       19.47370096,      0.1324364805,       1.187123496,       1.209363272
          76,      -6.992760314,       -5.46457853,      -5.827895015,       -5.30379246,     -0.4784270536,       23.36844115,       23.36844115,       0.132816405,       1.187793724,       1.210529327
          77,      -6.989645528,       -5.46689153,      -5.824121204,      -5.319694616,      -0.492432052,       28.04212938,       28.04212938,      0.1332646713,       1.188577743,       1.211894743
          78,      -6.984518845,        -5.4687005,      -5.821316103,      -5.339056703,     -0.5094613999,       33.65055526,       33.65055526,      0.1337926018,       1.189492407,       1.213488162
          79,      -6.975546447,      -5.470188042,      -5.817222418,      -5.362686534,     -0.5302101075,       40.38066631,       40.38066631,      0.1344138174,       1.190559006,       1.215343526
          80,      -6.967966451,      -5.471222669,      -5.811826709,      -5.391598793,     -0.5555452935,       48.45679957,       48.45679957,      0.1351422881,       1.191799286,        1.21749444
          81,      -6.957458616,      -5.471626188,      -5.805638729,      -5.427071991,     -0.5865501112,       58.14815949,       58.14815949,      0.1359848012,       1.193218146,       1.219951185
          82,      -6.949550486,      -5.471212815,      -5.798500551,      -5.470720524,     -0.6245768405,       58.14815949,       58.14815949,      0.1369314902,       1.194781298,       1.222671853
          83,      -6.940649938,       -5.46986733,      -5.790001821,      -5.524584498,     -0.6713093079,       58.14815949,       58.14815949,      0.1378014517,       1.196179246,        1.22513799
          84,      -6.952539812,      -5.468404574,      -5.787819049,      -5.580445243,     -0.7194880417,       58.14815949,       58.14815949,      0.1385913491,       1.197403179,       1.227345346
          85,       -6.96477686,       -5.46694106,        -5.7875245,      -5.638331047,     -0.7690884733,       58.14815949,       58.14815949,      0.1393052891,       1.198461063,         1.2293137
          86,      -6.970899892,      -5.465591852,      -5.786699531,      -5.698276714,     -0.8200856506,       58.14815949,       58.14815949,      0.1399503134,       1.199366954,       1.231071502
          87,      -6.980257336,      -5.464287273,      -5.785168362,      -5.760324738,     -0.8724548196,       58.14815949,       58.14815949,      0.1405328806,       1.200132253,        1.23264321
          88,      -6.988636464,      -5.462917478,      -5.783250452,      -5.824526502,      -0.926171543,       58.14815949,       58.14815949,      0.1410577214,       1.200762467,       1.234044506
          89,      -6.995014475,      -5.461460488,      -5.781107142,      -5.890943543,     -0.9812121691,       5.814815949,       5.814815949,      0.1415284321,        1.20125832,       1.235283774
          90,      -7.005654152,      -5.459850431,      -5.778427593,      -5.959642722,      -1.037557649,       6.977779139,       6.977779139,       0.141576562,       1.201316792,        1.23542376
          91,      -7.059660943,      -5.461035787,      -5.797868306,      -5.967044608,      -1.043540528,       8.373334966,       8.373334966,      0.1416328998,       1.201379525,       1.235580211
          92,       -7.07876962,      -5.460527067,      -5.825508945,      -5.975955522,      -1.050733662,       10.04800196,       10.04800196,       0.141698649,       1.201446908,       1.235755756
          93,      -7.112416314,      -5.460240996,      -5.843628891,      -5.986689772,      -1.059385037,       12.05760235,       12.05760235,      0.1417753119,       1.201520403,       1.235955649
          94,       -7.11769093,      -5.461115288,      -5.846399398,      -5.999630008,      -1.069793903,       14.46912282,       14.46912282,       0.141864717,       1.201601271,       1.236185978
          95,      -7.109237679,      -5.462773564,      -5.839048342,      -6.015243122,      -1.082322572,       17.36294739,       17.36294739,      0.1419687272,       1.201689361,        1.23645177
          96,      -7.105530846,      -5.464380672,      -5.830768627,      -6.034100525,      -1.097410375,       20.83553686,       20.83553686,      0.1420889872,       1.201782339,       1.236756142
          97,      -7.103463811,      -5.465498892,      -5.825345683,      -6.056903774,      -1.115590289,       25.00264424,       25.00264424,      0.1422268167,       1.201874978,       1.237100076
          98,       -7.09732616,      -5.466140385,      -5.821110674,      -6.084517358,      -1.137509373,       30.00317308,       30.00317308,      0.1423831717,       1.201958397,       1.237482214
          99,      -7.087039343,      -5.466384979,      -5.815867888,      -6.118010906,       -1.16395373,        36.0038077,        36.0038077,      0.1425592499,       1.202020706,       1.237900432
         100,      -7.073687988,      -5.466152134,      -5.808949396,      -6.158713807,      -1.195878586,       43.20456924,       43.20456924,      0.1427584191,       1.202050128,       1.238357129
         101,      -7.057952211,      -5.465235127,      -5.800551337,      -6.208286274,      -1.234444047,       51.84548309,       51.84548309,      0.1429873193,       1.202034696,       1.238860462
         102,      -7.038809795,      -5.463378968,      -5.790567391,       -6.26881214,      -1.281056761,       62.21457971,       62.21457971,      0.1432520868,       1.201949216,       1.239406989
         103,      -7.017546119,      -5.460282158,      -5.778725604,      -6.342919803,      -1.337416843,       6.221457971,       6.221457971,      0.1435538928,       1.201740329,        1.23995907
         104,      -6.994684922,      -5.455558605,       -5.76474491,      -6.433909912,      -1.405607444,       7.465749565,       7.465749565,      0.1435850884,       1.201728014,       1.240030081
         105,      -7.025613723,      -5.455598156,      -5.784425788,      -6.443952553,      -1.412933311,       8.958899478,       8.958899478,       0.143622032,       1.201707028,       1.240105903
         106,      -7.043436168,      -5.454177723,      -5.809784977,      -6.456048061,      -1.421734838,       10.75067937,       10.75067937,      0.1436654289,       1.201674581,       1.240185884
         107,      -7.076943377,      -5.453071699,      -5.825454216,      -6.470626785,       -1.43231338,       12.90081525,       12.90081525,      0.1437163862,       1.201628731,       1.240272103
         108,      -7.084032419,      -5.453031988,      -5.827032921,      -6.488213786,      -1.445029095,        15.4809783,        15.4809783,      0.1437764074,       1.201566811,       1.240367077
         109,      -7.077157151,      -5.453618341,       -5.81946909,      -6.509450703,      -1.460316377,       18.57717396,       18.57717396,      0.1438471429,       1.201483938,       1.240471433
         110,      -7.069913475,      -5.454065589,      -5.810998375,       -6.53512499,      -1.478700698,       22.29260875,       22.29260875,      0.1439303308,       1.201372298,       1.240583112
         111,      -7.062913361,      -5.453937605,      -5.804920028,      -6.566205789,      -1.500816425,        26.7511305,        26.7511305,      0.1440281168,        1.20122128,       1.240698092
         112,      -7.055467955,      -5.453218726,       -5.79975372,      -6.603889301,      -1.527429004,        32.1013566,        32.1013566,      0.1441439331,       1.201019161,       1.240812889
         113,      -7.042738035,      -5.451946823,      -5.793539212,      -6.649654961,      -1.559461798,       38.52162792,       38.52162792,      0.1442847464,       1.200758587,       1.240931591
         114,      -7.026292173,      -5.449956189,      -5.785566941,      -6.705330889,      -1.598027551,        46.2259535,        46.2259535,       0.144464945,       1.200446137,        1.24107862
         115,       -7.01282825,      -5.446996669,      -5.775722027,      -6.773158485,      -1.644464059,        55.4711442,        55.4711442,      0.1447079612,       1.200106768,       1.241304611
         116,      -6.992681189,      -5.442708861,       -5.76391794,      -6.855815252,      -1.700373316,        55.4711442,        55.4711442,      0.1450397577,       1.199771039,       1.241665979
         117,      -6.912719023,      -5.436382039,      -5.749664455,      -6.956256488,      -1.767705716,        55.4711442,        55.4711442,      0.1454032878,       1.199501598,       1.242101892
         118,      -6.933430896,      -5.429944188,       -5.74169809,      -7.058640764,       -1.83603827,        55.4711442,        55.4711442,         0.1457893,        1.19928734,       1.242588454
         119,      -6.883256841,      -5.422723908,      -5.735721166,      -7.161038594,      -1.905353564,        55.4711442,        55.4711442,      0.1461934848,       1.199127599,       1.243119141
         120,      -6.897877044,       -5.41584679,      -5.728781481,        -7.2600851,      -1.975630277,        55.4711442,        55.4711442,      0.1466162289,       1.199031807,       1.243704277
         121,      -6.846497267,      -5.408241572,      -5.721637831,      -7.350822689,      -2.046840798,        55.4711442,        55.4711442,      0.1470592649,        1.19901157,        1.24435918
         122,      -6.827259133,      -5.401085998,      -5.713357589,      -7.427717628,      -2.118953632,        55.4711442,        55.4711442,      0.1475225009,       1.199073078,       1.245092952
         123,      -6.830431688,       -5.39411348,      -5.705548402,      -7.487067015,      -2.191926452,        55.4711442,        55.4711442,      0.1480026708,       1.199213391,       1.245903173
         124,       -6.79851703,      -5.386947121,      -5.697812454,      -7.529380825,      -2.265706914,        55.4711442,        55.4711442,      0.1484937269,       1.199420591,       1.246776366
         125,      -6.786389145,      -5.379655581,      -5.689916598,      -7.558985712,       -2.34022651,        55.4711442,        55.4711442,       0.148988133,       1.199676124,       1.247691449
         126,      -6.757157211,      -5.372892781,      -5.681737502,      -7.581551679,      -2.415413305,        55.4711442,        55.4711442,      0.1494781701,       1.199957601,       1.248623514
         127,      -6.758775683,      -5.366712544,        -5.6741036,      -7.601634254,      -2.491154912,        55.4711442,        55.4711442,      0.1499568098,       1.200241075,       1.249546512
         128,      -6.789199293,       -5.36039131,      -5.666633517,      -7.622140624,       -2.56729387,        55.4711442,        55.4711442,       0.150418151,       1.200502721,       1.250434857
         129,      -6.810152549,      -5.353908767,        -5.6594995,       -7.64476701,       -2.64363738,       66.56537304,       66.56537304,      0.1508575285,        1.20072004,       1.251264387
         130,      -6.822206262,      -5.347206784,      -5.652820947,      -7.670176137,      -2.717855322,       6.656537304,       6.656537304,      0.1513463823,       1.200880157,       1.252133943
         131,      -6.785644152,      -5.338680939,      -5.633414098,      -7.704970004,      -2.819781925,       7.987844765,       7.987844765,      0.1513954914,       1.200901113,        1.25223125
