"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
          79,      -4.969364602,       -4.36820917,      -4.422051272,       12.05760235,       12.05760235,     0.08764374361,      0.6978092578
          80,      -4.969155504,      -4.368610974,      -4.420443098,       14.46912282,       14.46912282,     0.08336707604,      0.6891998943
          81,      -4.968905562,      -4.369070972,      -4.418524622,       17.36294739,       17.36294739,     0.07826430224,       0.679184824
          82,      -4.968621232,      -4.369593433,       -4.41625989,       20.83553686,       20.83553686,     0.07217426122,      0.6675908788
          83,      -4.968324161,      -4.370177723,      -4.413657283,       25.00264424,       25.00264424,     0.06490639391,      0.6542397642
          84,      -4.968063387,      -4.370814216,      -4.410845624,       30.00317308,       30.00317308,     0.05624128223,      0.6389674614
          85,      -4.967936733,      -4.371491153,       -4.40820233,        36.0038077,        36.0038077,     0.04594542744,      0.6216800505
          86,      -4.968135865,      -4.372242523,       -4.40651859,       43.20456924,       43.20456924,     0.03381708598,       0.602482262
          87,      -4.969059968,      -4.373267202,      -4.407127209,       51.84548309,       51.84548309,     0.01982114372,      0.5819627741
          88,       -4.97149594,      -4.375115824,      -4.411825372,       62.21457971,       62.21457971,    0.004438536103,       0.561825457
          89,      -4.976834203,      -4.378852674,      -4.422286751,       6.221457971,       6.221457971,     -0.0106474167,      0.5460495598
          90,      -4.987233699,      -4.385915921,       -4.43883599,       7.465749565,       7.465749565,    -0.01212031116,      0.5445553462
          91,      -4.987039634,      -4.385759441,      -4.439842558,       8.958899478,       8.958899478,    -0.01383390259,      0.5428912756
          92,      -4.986587322,      -4.385566698,      -4.440894767,       10.75067937,       10.75067937,    -0.01580808258,      0.5410882812
          93,      -4.986117963,      -4.385351703,      -4.442099247,       12.90081525,       12.90081525,    -0.01804995191,      0.5392191709
          94,      -4.985773244,      -4.385117432,        -4.4435273,        15.4809783,        15.4809783,    -0.02053968647,      0.5374288864
          95,      -4.985712898,      -4.384871051,      -4.445230337,       18.57717396,       18.57717396,    -0.02320553147,      0.5359848126
          96,      -4.986154272,      -4.384630734,       -4.44723366,       22.29260875,       22.29260875,    -0.02588331699,      0.5353560916
