"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
         167,      -5.359710993,       26.04717578,       26.04717578,      0.1717690581,       1.740541525
         168,      -5.368304042,       31.25661094,       31.25661094,      0.1712400555,       1.742422897
         169,      -5.378673548,       37.50793313,       37.50793313,      0.1704197645,        1.74410924
         170,      -5.391197781,       45.00951975,       45.00951975,      0.1692321335,       1.745398383
         171,      -5.406339636,        54.0114237,        54.0114237,      0.1675433546,       1.745953088
         172,      -5.424668684,       64.81370845,       64.81370845,      0.1651719963,       1.745356595
         173,      -5.446893104,       77.77645013,       77.77645013,      0.1619734301,         1.7433265
         174,      -5.473899042,       93.33174016,       93.33174016,      0.1579822926,        1.74005613
         175,       -5.50679968,       9.333174016,       9.333174016,      0.1535633986,       1.736585573
         176,      -5.547170643,       11.19980882,       11.19980882,      0.1531218181,       1.736240485
         177,      -5.551249531,       13.43977058,       13.43977058,      0.1525975387,       1.735837612
         178,      -5.556159962,        16.1277247,        16.1277247,      0.1519719123,       1.735360243
         179,      -5.562076143,       19.35326964,       19.35326964,      0.1512186362,       1.734777988
         180,      -5.569208719,       23.22392357,       23.22392357,      0.1503105441,       1.734065156
         181,      -5.577814122,       27.86870828,       27.86870828,      0.1492401579,       1.733247875
         182,      -5.588206301,       33.44244994,       33.44244994,      0.1480435482,       1.732456546
         183,      -5.600770417,       40.13093993,       40.13093993,      0.1468069316,       1.731945764
         184,      -5.615977939,       48.15712791,       48.15712791,      0.1456504542,       1.732072786
         185,      -5.634408088,       57.78855349,       57.78855349,      0.1447065285,       1.733265681
         186,      -5.656772731,       69.34626419,       69.34626419,      0.1441061524,       1.735998885
         187,      -5.683944362,       83.21551703,       83.21551703,      0.1439560222,       1.740729253
         188,      -5.716985207,       99.85862043,       99.85862043,      0.1442745849,       1.747700493
         189,      -5.757169735,       99.85862043,       99.85862043,      0.1448779656,       1.756580998
         190,      -5.806112493,       9.985862043,       9.985862043,      0.1452685772,        1.76478189
         191,       -5.85649848,       11.98303445,       11.98303445,      0.1453056819,       1.765600879
         192,       -5.86156169,       14.37964134,       14.37964134,      0.1453437991,       1.766568768
         193,      -5.867652992,       17.25556961,       17.25556961,       0.145373586,       1.767692254
         194,      -5.874993177,       20.70668353,       20.70668353,      0.1453783699,       1.768966704
         195,      -5.883837409,       24.84802024,       24.84802024,      0.1453400989,       1.770390246
         196,      -5.894492316,       29.81762429,       29.81762429,      0.1452484103,        1.77197629
         197,      -5.907334088,       35.78114915,       35.78114915,      0.1450995103,       1.773740862
         198,      -5.922819482,       42.93737897,       42.93737897,      0.1448786667,       1.775661891
         199,      -5.941496721,       51.52485477,       51.52485477,      0.1445374303,       1.777636085
         200,      -5.964020109,       61.82982572,       61.82982572,       0.143982385,       1.779460632
         201,      -5.991162527,       74.19579087,       74.19579087,      0.1430879989,       1.780860682
         202,      -6.023816802,       89.03494904,       89.03494904,      0.1417435607,       1.781586152
         203,      -6.062972316,       106.8419389,       106.8419389,      0.1399352115,       1.781593239
         204,       -6.10964492,       10.68419389,       10.68419389,      0.1378373709,       1.781284394
         205,      -6.168011158,       12.82103266,       12.82103266,      0.1376270578,       1.781251607
         206,      -6.173637653,       15.38523919,       15.38523919,      0.1373745281,       1.781208803
         207,      -6.180385665,       18.46228703,       18.46228703,       0.137065914,       1.781138402
         208,      -6.188508304,       22.15474444,       22.15474444,       0.136683397,       1.781014436
         209,      -6.198259584,       26.58569333,       26.58569333,      0.1362144744,        1.78082575
         210,      -6.209932471,       31.90283199,       31.90283199,      0.1356639317,       1.780603251
         211,      -6.223887613,       38.28339839,       38.28339839,      0.1350579005,       1.780429228
         212,       -6.24054631,       45.94007807,       45.94007807,      0.1344384268,       1.780429363
         213,      -6.260375065,       55.12809369,       55.12809369,       0.133857519,       1.780768576
         214,      -6.283866212,       66.15371242,       66.15371242,      0.1333736866,       1.781652206
         215,      -6.311502101,       79.38445491,       79.38445491,      0.1330437299,       1.783307465
         216,      -6.343669146,       95.26134589,       95.26134589,      0.1329048712,       1.785921263
         217,      -6.380495684,       114.3136151,       114.3136151,      0.1329455198,       1.789523635
         218,      -6.421554814,       11.43136151,       11.43136151,       0.133063013,       1.793838623
         219,      -6.479353362,       13.71763381,       13.71763381,      0.1330751161,       1.794272654
         220,      -6.483792375,       16.46116057,       16.46116057,      0.1330874631,       1.794789068
         221,      -6.489038627,       19.75339268,       19.75339268,      0.1330931589,        1.79538578
         222,      -6.495326936,       23.70407122,       23.70407122,      0.1330840694,       1.796060256
