"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
         105,      -6.906215133,       11.50249646,       11.50249646,      0.2671608994,       1.603210406
         106,      -6.884231563,       13.80299575,       13.80299575,      0.2657449501,       1.602469355
         107,      -6.861859591,        16.5635949,        16.5635949,      0.2638280229,       1.600986619
         108,      -6.839614345,       19.87631389,       19.87631389,      0.2612048386,       1.598347322
         109,      -6.810112319,       23.85157666,       23.85157666,      0.2575992523,       1.593971768
         110,      -6.774193011,       28.62189199,       28.62189199,      0.2526858481,       1.587124036
         111,      -6.733500537,       34.34627039,       34.34627039,      0.2461416153,       1.576959151
         112,      -6.688969299,       41.21552447,       41.21552447,      0.2377068886,       1.562627553
         113,      -6.641088509,       49.45862937,       49.45862937,      0.2272513423,       1.543509218
         114,      -6.594249561,       59.35035524,       59.35035524,      0.2148785556,       1.519639229
         115,      -6.551921831,       71.22042629,       71.22042629,      0.2011208962,       1.492333325
         116,       -6.51476182,       85.46451155,       85.46451155,      0.1872390122,       1.465001527
         117,      -6.483071481,       102.5574139,       102.5574139,      0.1755596188,         1.4440535
         118,      -6.457812358,       10.25574139,       10.25574139,      0.1695498287,       1.439222443
         119,      -6.465054426,       12.30688966,       12.30688966,      0.1690065229,       1.438896852
         120,      -6.461467537,        14.7682676,        14.7682676,      0.1684741841,       1.438818265
         121,      -6.457670018,       17.72192111,       17.72192111,      0.1679988346,       1.439150662
         122,      -6.453704357,       21.26630534,       21.26630534,      0.1676554707,       1.440139682
         123,      -6.449267293,        25.5195664,        25.5195664,      0.1675824825,       1.442209615
         124,       -6.44441707,       30.62347969,       30.62347969,      0.1680305884,       1.446098423
         125,       -6.43946216,       36.74817562,       36.74817562,      0.1693796639,       1.452917532
         126,      -6.434623186,       44.09781075,       44.09781075,      0.1721011566,       1.464091048
         127,      -6.430275351,        52.9173729,        52.9173729,      0.1766895166,       1.481203589
         128,      -6.426891431,       63.50084748,       63.50084748,      0.1835638971,       1.505722734
         129,      -6.424875774,       76.20101697,       76.20101697,      0.1928832589,       1.538475943
         130,      -6.425192592,       91.44122036,       91.44122036,      0.2042053265,       1.578726863
         131,      -6.428491596,       91.44122036,       91.44122036,      0.2160076517,       1.622861312
         132,      -6.437445193,       91.44122036,       91.44122036,      0.2246021834,       1.658862676
         133,      -6.449715068,       91.44122036,       91.44122036,      0.2292150845,       1.684406919
         134,      -6.465481336,       91.44122036,       91.44122036,      0.2297830515,       1.698996785
         135,       -6.48501666,       91.44122036,       91.44122036,      0.2269029048,       1.703896103
         136,      -6.508594543,       91.44122036,       91.44122036,      0.2216729738,       1.701770614
         137,      -6.536319678,       91.44122036,       91.44122036,      0.2154364182,       1.696040558
