"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         144,      -5.630939238,      -4.604901181,      -4.838178617
          0,           0,         145,      -5.646789829,      -4.616411599,      -4.852481997
          0,           0,         146,      -5.678445667,      -4.627762706,      -4.869913048
          0,           0,         147,      -5.732341991,      -4.637786361,       -4.89027672
          0,           0,         148,       -5.80002069,      -4.644505949,       -4.90829632
          0,           0,         149,      -5.815399939,      -4.645143939,      -4.909263413
          0,           0,         150,      -5.825205433,      -4.645757535,      -4.910384754
          0,           0,         151,      -5.835554677,      -4.646348618,      -4.911827501
          0,           0,         152,       -5.84757954,      -4.646913671,      -4.913687497
          0,           0,         153,      -5.861688257,      -4.647452115,      -4.916056382
          0,           0,         154,       -5.87795712,      -4.647960307,      -4.919016828
          0,           0,         155,      -5.896032661,      -4.648435807,      -4.922646193
          0,           0,         156,      -5.914815287,      -4.648892407,      -4.927038657
          0,           0,         157,      -5.931966017,       -4.64938559,      -4.932334394
          0,           0,         158,      -5.943605725,      -4.650047403,       -4.93874717
          0,           0,         159,      -5.945346942,      -4.651134752,      -4.946591294
          0,           0,         160,      -5.935543208,      -4.653093122,       -4.95626997
          0,           0,         161,      -5.918543628,      -4.656641027,       -4.96813162
          0,           0,         162,      -5.903435478,      -4.662898456,      -4.982211789
          0,           0,         163,      -5.922274672,      -4.663347717,      -4.982867032
          0,           0,         164,      -5.923405998,      -4.664058808,      -4.983962085
          0,           0,         165,      -5.921827442,      -4.664968228,      -4.985575313
          0,           0,         166,      -5.919514666,      -4.666076776,      -4.987614199
          0,           0,         167,      -5.917163564,      -4.667443445,      -4.990002226
          0,           0,         168,      -5.915249789,      -4.669160063,       -4.99271999
          0,           0,         169,      -5.914266274,      -4.671354715,      -4.995798461
          0,           0,         170,      -5.914770204,      -4.674218807,      -4.999284653
          0,           0,         171,      -5.917274096,      -4.678049056,      -5.003218751
          0,           0,         172,      -5.922074003,      -4.683285177,      -5.007650013
          0,           0,         173,      -5.929210723,      -4.690487463,       -5.01266422
          0,           0,         174,      -5.938622487,      -4.700187513,      -5.018436791
          0,           0,         175,      -5.950942231,      -4.712618286,      -5.025335064
          0,           0,         176,      -5.968952695,      -4.727431335,      -5.034045316
          0,           0,         177,      -5.991712497,      -4.728799834,      -5.034124941
          0,           0,         178,      -5.998458094,       -4.73047941,      -5.034551375
          0,           0,         179,      -6.003175918,      -4.732436815,      -5.035382198
          0,           0,         180,      -6.008061642,      -4.734692082,      -5.036540211
          0,           0,         181,      -6.013994535,      -4.737300029,      -5.037996769
          0,           0,         182,      -6.021625687,      -4.740314842,      -5.039815071
          0,           0,         183,      -6.031691476,      -4.743774619,      -5.042137969
          0,           0,         184,       -6.04519921,      -4.747696462,      -5.045166954
          0,           0,         185,       -6.06348258,      -4.752080698,      -5.049177751
          0,           0,         186,      -6.088000898,      -4.756914934,      -5.054567886
          0,           0,         187,      -6.119589946,      -4.762159869,      -5.061887535
          0,           0,         188,       -6.15633628,      -4.767730468,      -5.071829308
          0,           0,         189,      -6.188321858,      -4.773519889,      -5.085037667
          0,           0,         190,       -6.21432059,      -4.778486703,      -5.099236046
          0,           0,         191,      -6.221951941,      -4.782741885,      -5.114241549
          0,           0,         192,      -6.216561699,      -4.786473526,       -5.12985791
          0,           0,         193,       -6.20732597,      -4.789847783,       -5.14601484
          0,           0,         194,      -6.200910998,      -4.793004298,      -5.162732418
          0,           0,         195,      -6.200481677,      -4.796058491,      -5.180065924
          0,           0,         196,      -6.206701133,      -4.799102656,      -5.198042273
          0,           0,         197,      -6.218779595,      -4.802208533,      -5.216599623
          0,           0,         198,      -6.230848673,      -4.806279355,      -5.239261178
          0,           0,         199,      -6.256176671,      -4.806609911,      -5.241460461
          0,           0,         200,      -6.260316857,      -4.806986036,      -5.244468826
          0,           0,         201,      -6.261904919,      -4.807408616,      -5.248002179
          0,           0,         202,      -6.263617816,      -4.807927372,      -5.251881626
          0,           0,         203,      -6.266444562,       -4.80860091,      -5.256185606
          0,           0,         204,      -6.270876396,      -4.809480026,      -5.261180764
          0,           0,         205,      -6.277097653,      -4.810614298,      -5.267195105
          0,           0,         206,      -6.284961687,      -4.812065134,      -5.274525647
          0,           0,         207,      -6.293888138,      -4.813918799,      -5.283395602
          0,           0,         208,      -6.302792913,      -4.816304997,      -5.293933495
