"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
          52,       -10.1189771,      -8.706949771,       -8.66254185,      -9.219223479,      -6.445354912,       68.36437837,       68.36437837,        0.17246053,       1.200583666,       1.233663975,   1.135994115e-07
          53,      -10.11925523,      -8.707202853,      -8.662747584,      -9.219384492,      -6.445526661,       68.36437837,       68.36437837,       0.172460687,       1.200585493,       1.233665926,   1.172421277e-07
          54,      -10.11953336,       -8.70745583,      -8.662953346,      -9.219545483,      -6.445698735,       68.36437837,       68.36437837,      0.1724608437,       1.200587319,       1.233667874,   1.208770251e-07
          55,      -10.11981148,      -8.707708678,      -8.663159146,      -9.219706452,       -6.44587117,       68.36437837,       68.36437837,      0.1724610001,       1.200589143,        1.23366982,   1.245045398e-07
          56,       -10.1200896,      -8.707961379,       -8.66336499,      -9.219867399,      -6.446043974,       68.36437837,       68.36437837,      0.1724611562,       1.200590965,       1.233671764,   1.281251323e-07
          57,      -10.12036769,      -8.708213923,      -8.663570883,      -9.220028326,      -6.446217123,       68.36437837,       68.36437837,      0.1724613121,       1.200592786,       1.233673706,   1.317393018e-07
          58,      -10.12064571,      -8.708466303,      -8.663776827,      -9.220189232,      -6.446390571,       68.36437837,       68.36437837,      0.1724614676,       1.200594605,       1.233675646,   1.353475847e-07
          59,      -10.12092366,      -8.708718523,      -8.663982819,      -9.220350118,      -6.446564251,       68.36437837,       68.36437837,       0.172461623,       1.200596423,       1.233677584,   1.389505404e-07
          60,       -10.1212015,      -8.708970588,      -8.664188853,      -9.220510984,      -6.446738087,       68.36437837,       68.36437837,      0.1724617781,        1.20059824,        1.23367952,   1.425487311e-07
          61,      -10.12147923,      -8.709222512,      -8.664394921,      -9.220671831,      -6.446912007,       68.36437837,       68.36437837,      0.1724619331,       1.200600055,       1.233681454,   1.461427002e-07
          62,      -10.12175685,      -8.709474311,      -8.664601013,      -9.220832658,      -6.447085943,       68.36437837,       68.36437837,      0.1724620879,       1.200601869,       1.233683387,   1.497329536e-07
          63,      -10.12203436,      -8.709726002,       -8.66480712,      -9.220993466,       -6.44725984,       68.36437837,       68.36437837,      0.1724622425,       1.200603682,       1.233685319,   1.533199452e-07
          64,      -10.12231179,      -8.709977602,      -8.665013231,      -9.221154255,      -6.447433657,       68.36437837,       68.36437837,      0.1724623971,       1.200605494,       1.233687249,   1.569040685e-07
          65,      -10.12258916,      -8.710229127,       -8.66521934,      -9.221315025,      -6.447607365,       68.36437837,       68.36437837,      0.1724625515,       1.200607304,       1.233689178,    1.60485652e-07
          66,      -10.12286651,      -8.710480593,      -8.665425442,      -9.221475774,       -6.44778095,       68.36437837,       68.36437837,      0.1724627058,       1.200609114,       1.233691105,   1.640649587e-07
          67,      -10.12314386,      -8.710732009,      -8.665631532,      -9.221636504,      -6.447954407,       68.36437837,       68.36437837,        0.17246286,       1.200610923,       1.233693032,   1.676421873e-07
          68,      -10.12342124,      -8.710983384,      -8.665837609,      -9.221797214,      -6.448127742,       68.36437837,       68.36437837,      0.1724630142,        1.20061273,       1.233694957,    1.71217476e-07
          69,      -10.12369867,      -8.711234724,      -8.666043674,      -9.221957903,      -6.448300967,       68.36437837,       68.36437837,      0.1724631683,       1.200614537,       1.233696882,   1.747909051e-07
